"Venue type",Gender,Discipline,"Result shift","Conversion factor","Point shift"
m,50m,resultShift,,,
m,50m,conversionFactor,,,
m,50m,pointShift,,,
m,55m,resultShift,,,
m,55m,conversionFactor,,,
m,55m,pointShift,,,
m,60m,resultShift,,,
m,60m,conversionFactor,,,
m,60m,pointShift,,,
m,50mh,resultShift,,,
m,50mh,conversionFactor,,,
m,50mh,pointShift,,,
m,55mh,resultShift,,,
m,55mh,conversionFactor,,,
m,55mh,pointShift,,,
m,60mh,resultShift,,,
m,60mh,conversionFactor,,,
m,60mh,pointShift,,,
m,100m,resultShift,,,
m,100m,conversionFactor,,,
m,100m,pointShift,,,
m,200m,resultShift,,,
m,200m,conversionFactor,,,
m,200m,pointShift,,,
m,200m_short,resultShift,,,
m,200m_short,conversionFactor,,,
m,200m_short,pointShift,,,
m,300m,resultShift,,,
m,300m,conversionFactor,,,
m,300m,pointShift,,,
m,300m_short,resultShift,,,
m,300m_short,conversionFactor,,,
m,300m_short,pointShift,,,
m,400m,resultShift,,,
m,400m,conversionFactor,,,
m,400m,pointShift,,,
m,400m_short,resultShift,,,
m,400m_short,conversionFactor,,,
m,400m_short,pointShift,,,
m,500m,resultShift,,,
m,500m,conversionFactor,,,
m,500m,pointShift,,,
m,500m_short,resultShift,,,
m,500m_short,conversionFactor,,,
m,500m_short,pointShift,,,
m,600m,resultShift,,,
m,600m,conversionFactor,,,
m,600m,pointShift,,,
m,600m_short,resultShift,,,
m,600m_short,conversionFactor,,,
m,600m_short,pointShift,,,
m,800m,resultShift,,,
m,800m,conversionFactor,,,
m,800m,pointShift,,,
m,800m_short,resultShift,,,
m,800m_short,conversionFactor,,,
m,800m_short,pointShift,,,
m,1000m,resultShift,,,
m,1000m,conversionFactor,,,
m,1000m,pointShift,,,
m,1000m_short,resultShift,,,
m,1000m_short,conversionFactor,,,
m,1000m_short,pointShift,,,
m,1500m,resultShift,,,
m,1500m,conversionFactor,,,
m,1500m,pointShift,,,
m,1500m_short,resultShift,,,
m,1500m_short,conversionFactor,,,
m,1500m_short,pointShift,,,
m,1mile,resultShift,,,
m,1mile,conversionFactor,,,
