gender;event_id;discipline;track_type;source_label;measurement;expected_points;mark;normalized_result;actual_points;delta
m;50mh;50mh;long;Hurdles · 50mH;time;854;7.35;7.35;855;1
m;110mh;110mh;long;Hurdles · 110mH;time;765;15.80;15.8;766;1
m;4x400m_short;4x400m;short;Relays · 4x400m sh;time;489;4:00.00;240;488;-1
m;2000m_short;2000m;short;Middle II · 2000m sh;time;904;5:28.00;328;903;-1
m;5000m_short;5000m;short;Long Distances · 5000m sh;time;1044;14:00.00;840;1043;-1
m;15km;15km;long;Road I · 15 km;time;316;1:00:59.04;3659.04;315;-1
m;15km;15km;long;Road I · 15 km;time;237;1:03:41.04;3821.04;236;-1
m;15km;15km;long;Road I · 15 km;time;43;1:13:42.04;4422.04;42;-1
m;10miles;10miles;long;Road I · 10 Miles;time;277;1:07:07.02;4027.02;276;-1
m;10miles;10miles;long;Road I · 10 Miles;time;229;1:08:58.04;4138.04;228;-1
m;10miles;10miles;long;Road I · 10 Miles;time;96;1:15:30.04;4530.04;95;-1
m;10miles;10miles;long;Road I · 10 Miles;time;6;1:24:30.04;5070.04;5;-1
m;20km;20km;long;Road I · 20 km;time;1352;52:53;3173;1351;-1
m;20km;20km;long;Road I · 20 km;time;1339;53:10;3190;1338;-1
m;20km;20km;long;Road I · 20 km;time;1320;53:35;3215;1319;-1
m;20km;20km;long;Road I · 20 km;time;1317;53:39;3219;1316;-1
m;20km;20km;long;Road I · 20 km;time;1275;54:35;3275;1274;-1
m;20km;20km;long;Road I · 20 km;time;1272;54:39;3279;1271;-1
m;20km;20km;long;Road I · 20 km;time;1241;55:21;3321;1240;-1
m;20km;20km;long;Road I · 20 km;time;1230;55:36;3336;1229;-1
m;20km;20km;long;Road I · 20 km;time;1222;55:47;3347;1221;-1
m;20km;20km;long;Road I · 20 km;time;1214;55:58;3358;1213;-1
m;20km;20km;long;Road I · 20 km;time;1206;56:09;3369;1205;-1
m;20km;20km;long;Road I · 20 km;time;1193;56:27;3387;1192;-1
m;20km;20km;long;Road I · 20 km;time;1188;56:34;3394;1187;-1
m;20km;20km;long;Road I · 20 km;time;1163;57:09;3429;1162;-1
m;20km;20km;long;Road I · 20 km;time;1158;57:16;3436;1157;-1
m;20km;20km;long;Road I · 20 km;time;1146;57:33;3453;1145;-1
m;20km;20km;long;Road I · 20 km;time;1134;57:50;3470;1133;-1
m;20km;20km;long;Road I · 20 km;time;1127;58:00;3480;1126;-1
